IDPERSONA,DOCUMENTO_TRAYECTORIA_TEXTO,N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS
642599,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TP) en CENTRO DE EMPRENDIMIENTO E INNOVACIÓN I3LAB y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 9 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ANALISTA DE PROYECTOS DE VINCULACIÓN 3 en CENTRO DE EMPRENDIMIENTO E INNOVACIÓN I3LAB (2015-2025); PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2015-2016); PROFESOR NO TITULAR OCASIONAL 1 (TP) en DESCONOCIDA (en 2016); PROFESOR NO TITULAR OCASIONAL 1 (TP) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2016-2017); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2016-2017); PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2017-2018); PROFESOR NO TITULAR OCASIONAL (TP) en CENTRO DE DESARROLLO DE EMPRENDEDORES (2018-2019); PROFESOR NO TITULAR OCASIONAL (TP) en CENTRO DE EMPRENDIMIENTO E INNOVACIÓN I3LAB (en 2019); PROFESOR NO TITULAR OCASIONAL (TP) en CENTRO DE EMPRENDIMIENTO E INNOVACIÓN I3LAB (2021-2022).
Movilidad: Ha realizado 4 cambios de cargo y 5 cambios de unidad. Ha desarrollado su trayectoria en 4 unidades.
Permanencia: La duración media de sus cargos es de 1.6 años y la duración mediana es de 0.4 años. Su cargo de mayor duración se mantuvo durante 10.1 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.4 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (4 cambios de cargo), con cambios entre distintas unidades (5 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.1 años). Múltiples cambios de cargo a lo largo de su trayectoria (4). Múltiples cambios de unidad a lo largo de su trayectoria (5). Trayectoria distribuida entre varias unidades (4). Predominio de períodos prolongados en su historial de cargos.",9,9,4,5,1.58,0.39,10.12,4,4,1.0
642649,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de DECANO(A) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (2011-2013); PROFESOR OCASIONAL en DESCONOCIDA (2013-2014); PROFESOR TITULAR AUXILIAR 2 (TC) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL (2015-2022); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en ESCUELA DE DISEÑO Y COMUNICACIÓN VISUAL (en 2016); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en ESCUELA DE DISEÑO Y COMUNICACIÓN VISUAL (en 2017); SUBDIRECTOR en DESCONOCIDA (en 2017); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en CENTRO DE DESARROLLO DE EMPRENDEDORES (en 2017); DECANO(A) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL (desde 2022).
Movilidad: Ha realizado 6 cambios de cargo y 5 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 1.9 años y la duración mediana es de 0.9 años. Su cargo de mayor duración se mantuvo durante 7.7 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.9 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (6 cambios de cargo), con cambios entre distintas unidades (5 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 7.7 años). Múltiples cambios de cargo a lo largo de su trayectoria (6). Múltiples cambios de unidad a lo largo de su trayectoria (5).",8,4,6,5,1.88,0.91,7.7,4,2,0.5
642708,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (2012-2013); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL (desde 2014).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 6.5 años y la duración mediana es de 6.5 años. Su cargo de mayor duración se mantuvo durante 12.0 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 6.5 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 12.0 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,6.48,6.48,11.96,2,2,1.0
642759,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE INVESTIGACIÓN 1 (TC) en VICERRECTORADO DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS DE LA VIDA (2015-2018); TÉCNICO DE INVESTIGACIÓN 1 (TC) en VICERRECTORADO DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN (desde 2023).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 2.9 años y la duración mediana es de 2.9 años. Su cargo de mayor duración se mantuvo durante 3.0 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,2.91,2.91,2.98,2,2,1.0
642784,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE EJECUTIVA 2 en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AUXILIAR DE ARCHIVO en DESCONOCIDA (en 2012); ASISTENTE EJECUTIVA 2 en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (desde 2016).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 5.7 años y la duración mediana es de 5.7 años. Su cargo de mayor duración se mantuvo durante 10.5 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 5.7 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.5 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,5.69,5.69,10.54,2,2,1.0
642847,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE EJECUTIVA 3 en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AYUDANTE DE SERVICIOS ADMINISTRATIVOS en DESCONOCIDA (2016-2019); ASISTENTE EJECUTIVA 3 en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2019-2026).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 5.0 años y la duración mediana es de 5.0 años. Su cargo de mayor duración se mantuvo durante 6.6 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 5.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 6.6 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,5.0,5.0,6.57,2,2,1.0
642871,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE LABORATORIO 1 (TC) en FACULTAD DE CIENCIAS DE LA VIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE INVESTIGACIÓN 1 (TC) en DECANATO DE INVESTIGACIÓN (en 2023); TÉCNICO DE LABORATORIO 1 (TC) en FACULTAD DE CIENCIAS DE LA VIDA (2024-2026).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 1.4 años y la duración mediana es de 1.4 años. Su cargo de mayor duración se mantuvo durante 2.1 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.4 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,1.45,1.45,2.07,2,2,1.0
642876,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE INVESTIGACIÓN 1 (TC) en DECANATO DE INVESTIGACIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE INVESTIGACIÓN 1 (TC) en DECANATO DE INVESTIGACIÓN (en 2023).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 0.8 años y la duración mediana es de 0.8 años. Su cargo de mayor duración se mantuvo durante 0.8 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,0.83,0.83,0.83,1,1,1.0
642966,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DOCENTE 3 (TC) en DIRECCIÓN DE ADMISIONES y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DOCENTE 3 (TC) en DIRECCIÓN DE ADMISIONES (en 2023).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 0.3 años y la duración mediana es de 0.3 años. Su cargo de mayor duración se mantuvo durante 0.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.3 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,0.28,0.28,0.28,1,1,1.0
642985,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES en DECANATO DE GRADO y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE INVESTIGACIÓN 1 (TC) en DECANATO DE INVESTIGACIÓN (en 2023); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE ACTIVIDADES en DECANATO DE GRADO (en 2024).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 0.9 años y la duración mediana es de 0.9 años. Su cargo de mayor duración se mantuvo durante 1.0 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,0.91,0.91,0.98,2,2,1.0
643054,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE INVESTIGACIÓN 3 (TC) en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE INVESTIGACIÓN 3 (TC) en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS (2019-2021).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.6 años y la duración mediana es de 2.6 años. Su cargo de mayor duración se mantuvo durante 2.6 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.6 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,2.58,2.58,2.58,1,1,1.0
643058,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE DE LABORATORIO DE INVESTIGACIÓN en DESCONOCIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DE LABORATORIO DE INVESTIGACIÓN en DESCONOCIDA (2019-2021).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.1 años y la duración mediana es de 1.1 años. Su cargo de mayor duración se mantuvo durante 1.1 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.1 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,1.08,1.08,1.08,1,1,1.0
643061,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE LABORATORIO 4 (TC) en FACULTAD DE CIENCIAS DE LA VIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TECNICO DOCENTE en FACULTAD DE CIENCIAS DE LA VIDA (2017-2018); TÉCNICO DE LABORATORIO 4 (TC) en FACULTAD DE CIENCIAS DE LA VIDA (2018-2021).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.6 años y la duración mediana es de 1.6 años. Su cargo de mayor duración se mantuvo durante 2.9 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.6 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad.",2,1,1,0,1.58,1.58,2.91,1,1,0.5
643117,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (2025-2026); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (desde 2026).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 0.2 años y la duración mediana es de 0.2 años. Su cargo de mayor duración se mantuvo durante 0.4 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.2 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad.",2,1,1,0,0.24,0.24,0.37,1,1,0.5
643166,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE DE COMUNICACIÓN en CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (en 2017); ASISTENTE DE COMUNICACIÓN en CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS (desde 2025).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 0.8 años y la duración mediana es de 0.8 años. Su cargo de mayor duración se mantuvo durante 1.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad.",2,1,1,1,0.77,0.77,1.29,2,1,0.5
643204,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE DE COMUNICACIÓN en CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DE COMUNICACIÓN en CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS (2023-2025).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.8 años y la duración mediana es de 1.8 años. Su cargo de mayor duración se mantuvo durante 1.8 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,1.76,1.76,1.76,1,1,1.0
643247,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE ACTIVIDADES en FACULTAD DE CIENCIAS DE LA VIDA y su estado de vigencia es no vigente.
Secuencia profesional: TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE ACTIVIDADES en FACULTAD DE CIENCIAS DE LA VIDA (en 2018).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 0 unidades.
Permanencia: La duración media de sus cargos es de 0.2 años y la duración mediana es de 0.2 años. Su cargo de mayor duración se mantuvo durante 0.2 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.2 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos cortos en su historial de cargos.",1,0,0,0,0.25,0.25,0.25,1,0,0.0
643248,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS DE LA VIDA y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE LABORATORIO 1 (TC) en FACULTAD DE CIENCIAS DE LA VIDA (2019-2022); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS DE LA VIDA (desde 2023).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 3.7 años y la duración mediana es de 3.7 años. Su cargo de mayor duración se mantuvo durante 3.7 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.7 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",2,2,1,0,3.71,3.71,3.71,1,1,1.0
643299,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE EJECUTIVA 2 en GERENCIA ADMINISTRATIVA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE EJECUTIVA 2 en GERENCIA ADMINISTRATIVA (2019-2022).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.9 años y la duración mediana es de 2.9 años. Su cargo de mayor duración se mantuvo durante 2.9 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,2.9,2.9,2.9,1,1,1.0
643304,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DOCENTE 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DOCENTE 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2020-2023).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.9 años y la duración mediana es de 2.9 años. Su cargo de mayor duración se mantuvo durante 2.9 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,2.85,2.85,2.85,1,1,1.0
643308,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE LABORATORIO 1 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE LABORATORIO 1 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (desde 2019); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE ACTIVIDADES en GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN (en 2024).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 3.8 años y la duración mediana es de 3.8 años. Su cargo de mayor duración se mantuvo durante 7.4 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 3.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 7.4 años). Trayectoria concentrada en una sola unidad.",2,1,1,1,3.75,3.75,7.38,2,1,0.5
643309,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (MT) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DOCENTE 1 (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2019-2026); PROFESOR NO TITULAR OCASIONAL (MT) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (en 2026).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 3.5 años y la duración mediana es de 3.5 años. Su cargo de mayor duración se mantuvo durante 6.8 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 3.5 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 6.8 años). Trayectoria concentrada en una sola unidad.",2,1,1,0,3.45,3.45,6.76,1,1,0.5
643312,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DOCENTE 3 (TC) en DIRECCIÓN DE ADMISIONES y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DOCENTE 1 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2018-2024); TÉCNICO DOCENTE 3 (TC) en DIRECCIÓN DE ADMISIONES (en 2025).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.1 años y la duración mediana es de 3.1 años. Su cargo de mayor duración se mantuvo durante 6.0 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.1 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 6.0 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,3.11,3.11,5.95,2,2,1.0
